#name	Subject1
Hs.169444	-0.341
Hs.22065	0.179
Hs.75268	0.182
Hs.1162	0.113
Hs.528699	-0.192
Hs.368238	0.078
Hs.155942	-0.019
Hs.279902	0.082
Hs.441498	-0.1635
Hs.279580	0.101
Hs.240770	-0.002
Hs.44	-0.142
Hs.443831	0.139
Hs.194148	-0.074
Hs.209119	0.209
Hs.51299	-0.66
Hs.355584	0.053
Hs.436019	-0.698
Hs.83381	-0.137
Hs.99881	-0.389
Hs.135554	0.384
Hs.369009	-0.063
Hs.512155	-0.003
Hs.129340	0.147
Hs.446206	0.218
Hs.21420	0.19
Hs.351871	0.083
Hs.4994	-0.202
Hs.42219	0.092
Hs.150406	-0.141
Hs.147259	-0.605
Hs.388742	-0.208
Hs.348308	0.179
Hs.504892	-0.218
Hs.25647	0.492
Hs.300263	-0.493
Hs.378836	-0.16
Hs.442540	0.1265
Hs.349499	0.01
Hs.152096	0.293
Hs.421107	0.273
Hs.412355	0.094
Hs.174083	-0.267
Hs.29679	-0.475
Hs.515379	-0.254
Hs.77542	0.186
Hs.279582	-0.466
Hs.444619	-0.382
Hs.81994	0.212
Hs.17466	0.043
Hs.251871	-0.048
Hs.410477	0.097
Hs.252839	-0.145
Hs.15432	-0.009
Hs.211569	0.224
Hs.2633	0.04
Hs.44208	0.136
Hs.309452	-0.1805
Hs.279742	0.087
Hs.76768	-0.69
Hs.248153	0.067
Hs.6019	0.915
Hs.468538	-0.19
Hs.81170	0.293
Hs.25882	-0.255
Hs.380230	0.25
Hs.291564	0.014
Hs.78354	0.166
Hs.95655	0.249
Hs.506231	0.216
Hs.103982	-0.169
Hs.386939	0.173
Hs.232416	0.255
Hs.279903	-0.768
Hs.268849	0.21
Hs.164226	0.165
Hs.436836	0.657
Hs.65734	-0.157
Hs.78867	0.178
Hs.80288	0.453
Hs.426296	-0.1
Hs.387725	-0.156
Hs.89640	-0.05
Hs.323396	0.388
Hs.356494	0.314
Hs.71719	-0.083
Hs.38044	0.3
Hs.409131	-0.367
Hs.2375	0.188
Hs.16622	0.289
Hs.11169	0.41
Hs.7744	-0.048
Hs.198161	0.2315
Hs.108973	0.025
Hs.272891	0.403
Hs.6278	-0.071
Hs.301921	0.274
Hs.440704	-0.068
Hs.136102	-0.424
Hs.204044	-0.188
Hs.303720	-0.58
Hs.448627	-0.281
Hs.127958	0.1605
Hs.232068	0.451
Hs.104636	-0.037
Hs.445037	-0.411
Hs.163867	-0.128
Hs.139322	0.079
Hs.24970	-0.718
Hs.11463	-0.283
Hs.106876	0.014
Hs.276238	0.185
Hs.219140	0.16
Hs.23581	0.41
Hs.41565	-0.285
Hs.433103	-0.003
Hs.8850	0.242
Hs.323583	0.326
Hs.95321	-0.039
Hs.446531	-0.02
Hs.346868	0.469
Hs.180866	0.021
Hs.409034	-0.123
Hs.448977	-0.01
Hs.104865	0.15
Hs.423089	-0.094
Hs.133389	0.075
Hs.510939	-0.139
Hs.444471	-0.213
Hs.41324	0.122
Hs.155983	-0.01
Hs.365655	0.061
Hs.149249	-0.023
Hs.255158	-0.576
Hs.207763	0.2325
Hs.375214	0.494
Hs.436186	0.242
Hs.154846	0.0665
Hs.386249	0.27
Hs.437313	0.315
Hs.7159	0.267
Hs.454808	0.357
Hs.1708	0.066
Hs.122575	0.15
Hs.399958	0.285
Hs.474799	-0.084
Hs.89627	-0.521
Hs.371139	0.368
Hs.350966	-0.428
Hs.25156	0.405
Hs.369026	0.597
Hs.212296	-0.349
